Batch No,Silhouette Score
0,0.0024942426618983363
1,0.002326871566773553
2,0.002829351422512067
3,0.003067145985443858
4,0.0031977744267106247
5,0.0031858188539138272
6,0.003329765395920546
7,0.003749788929638498
8,0.0029068335347306514
9,0.002287195549805306
10,0.0024954328940858606
11,0.0029603885693473627
12,0.0030431446162985307
13,0.0035723839752938914
14,0.002639375621900239
15,0.0033536410564820487
16,0.002772218837220166
17,0.0031836184853594727
18,0.0035443738549490915
19,0.0038268656669593086
20,0.002912064066492842
21,0.003326637810789845
22,0.003253561005627937
23,0.0036004104105587372
24,0.0033495789299428664
25,0.003191135814664541
26,0.0025773366500551746
27,0.00419978473789671
28,0.0036934461549289963
29,0.002846993717472177
30,0.003609749330506763
31,0.0028159567357876726
32,0.002967754273663985
33,0.0031643360765930234
34,0.0028965565616469154
35,0.003080649632080724
36,0.0034700218719161922
37,0.0025163263094878353
38,0.0030317809922889532
39,0.0028036840906009845
40,0.002753781658101872
41,0.0027809317789591306
42,0.002806900631130603
43,0.0041742035709301266
44,0.003279763330755682
45,0.0038430184691731783
46,0.002927549442516119
47,0.003472036161478474
48,0.0027922317181755156
